year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2021,10,2021-10-01,0.050246034881999996,0.06294242117199998,-0.012696386289999986,50,50,100,True,0.0,0.069144,2021-10-01
2021,11,2021-11-01,-0.04523682930800001,-0.018269139376,-0.026967689932000008,50,50,100,True,0.0,-0.008334,2021-11-01
2021,12,2021-12-01,0.079415035968,0.055248965982,0.024166069985999995,50,50,100,True,0.0001,0.043613,2021-12-01
2022,1,2022-01-01,0.04426564375,-0.025720991374000003,0.069986635124,50,50,100,True,0.0,-0.052585,2022-01-01
2022,2,2022-02-01,-0.020403401126000004,0.009001845377999999,-0.029405246504000004,50,50,100,True,0.0,-0.031361,2022-02-01
2022,3,2022-03-01,0.027825633776,0.035106435548,-0.007280801771999999,50,50,100,True,0.0001,0.035773,2022-03-01
2022,4,2022-04-01,-0.074757071776,-0.04355526259,-0.031201809185999997,50,50,100,True,0.0001,-0.087957,2022-04-01
2022,5,2022-05-01,0.051272080562,-0.002233946587999999,0.053506027149999996,50,50,100,True,0.0003,5.3e-05,2022-05-01
2022,6,2022-06-01,-0.104754697974,-0.06682153568600001,-0.03793316228799999,50,50,100,True,0.0006,-0.08392,2022-06-01
2022,7,2022-07-01,0.080034510712,0.037479166516,0.042555344196,50,50,100,True,0.0008,0.091116,2022-07-01
2022,8,2022-08-01,-0.020764426128,-0.024443722322,0.003679296194000002,50,50,100,True,0.0019,-0.04244,2022-08-01
2022,9,2022-09-01,-0.11143763274599999,-0.07752696223599999,-0.033910670510000004,50,50,100,True,0.0019,-0.093396,2022-09-01
2022,10,2022-10-01,0.130466284152,0.110409567576,0.020056716576000014,50,50,100,True,0.0023,0.079863,2022-10-01
2022,11,2022-11-01,0.075695847214,0.047632042865999986,0.02806380434800001,50,50,100,True,0.0029,0.053753,2022-11-01
2022,12,2022-12-01,-0.061580036064000004,-0.03347752404400001,-0.028102512019999998,50,50,100,True,0.0033,-0.058971,2022-12-01
2023,1,2023-01-01,0.07203271502400001,0.013053293032000002,0.05897942199200001,50,50,100,True,0.0035,0.061753,2023-01-01
2023,2,2023-02-01,-0.040433462318000005,-0.036603872598,-0.0038295897200000054,50,50,100,True,0.0034,-0.026112,2023-02-01
2023,3,2023-03-01,0.0046594586199999975,-0.024815431215999998,0.029474889835999996,50,50,100,True,0.0036,0.035052,2023-03-01
2023,4,2023-04-01,0.022525944453999996,0.010668151258,0.011857793195999996,50,50,100,True,0.0035,0.014642,2023-04-01
2023,5,2023-05-01,-0.070838563104,-0.039075799974,-0.031762763129999996,50,50,100,True,0.0036,0.002482,2023-05-01
2023,6,2023-06-01,0.061221771514,0.055452610827999994,0.005769160686000002,50,50,100,True,0.004,0.064728,2023-06-01
2023,7,2023-07-01,0.061689191068,0.009435203262,0.052253987806,50,50,100,True,0.0045,0.031139,2023-07-01
2023,8,2023-08-01,-0.051617957496000004,-0.00848661263,-0.043131344866,50,50,100,True,0.0045,-0.017716,2023-08-01
2023,9,2023-09-01,-0.05320237320799999,-0.03607062126999999,-0.017131751937999998,50,50,100,True,0.0043,-0.048719,2023-09-01
2023,10,2023-10-01,-0.030555769229999998,-0.024766330649999998,-0.00578943858,50,50,100,True,0.0047,-0.02198,2023-10-01
2023,11,2023-11-01,0.08604984637000002,0.0622595283,0.023790318070000017,50,50,100,True,0.0044,0.089179,2023-11-01
2023,12,2023-12-01,0.066504079704,0.024060598300000003,0.042443481404000005,50,50,100,True,0.0043,0.044229,2023-12-01
